row_id,id,state,state_code,state_mean_churn,account_length,new_acct,international_plan,vmail_plan,vmail_message,int_no_vm,day_mins,day_calls,day_charge,day_mins_pc,day_call_hi,day_call_lo,day_call_prof,day_charge_pm,eve_mins,eve_calls,eve_charge,eve_mins_pc,eve_chatterbox,night_mins,night_calls,night_charge,night_mins_pc,intl_mins,intl_charge,intl_user,total_mins,total_charge,freq_user,custserv_calls,factor2,churn,5f_01,5f_03a,5f_03b,5f_06,5f_07,5f_08,5f_09,5f_10,5f_11,5f_12,5f_13,5factor,1stPC,2ndPC,3rdPC,4thPC,5thPC
0,3200,CT,6,0.170212766,100,0,1,0,0,1,107.2,98,18.22,1.093877551,0,0,0,0.169962687,86.8,122,7.38,0.71147541,0,156.2,117,7.03,1.335042735,9.7,2.62,0,203.7,28.22,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1.868294203,-4.506500536,0.603950863,-2.195173827,-2.663984544
1,2129,CT,6,0.170212766,146,0,0,1,23,0,149.6,96,25.43,1.558333333,0,1,-1,0.169986631,239.8,124,20.38,1.933870968,0,293.5,135,13.21,2.174074074,7.4,2,0,396.8,47.81,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,-1,0.89407219,-1.678658274,1.361244558,2.50420364,1.014110283
2,598,AZ,3,0.055555556,84,0,0,0,0,0,159,80,27.03,1.9875,0,1,-1,0.17,167.9,128,14.27,1.31171875,0,167.6,101,7.54,1.659405941,12.3,3.32,1,339.2,44.62,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,-2,1.4773851,-2.106805341,-2.782167017,-1.680389675,-1.180102742
3,2507,VT,46,0.111111111,43,0,0,0,0,0,135.8,125,23.09,1.0864,1,0,1,0.170029455,163.2,88,13.87,1.854545455,0,229.8,106,10.34,2.167924528,12.6,3.4,1,311.6,40.36,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,6,-3.823820692,-0.694551353,-2.697746961,1.136998095,-0.085334748
4,1248,PA,38,0.222222222,101,0,0,0,0,0,193.7,108,32.93,1.793518519,1,0,1,0.170005163,186.6,99.79722519,15.86,1.869791466,0,223,100,8.982912957,2.23,11.6,3.13,1,391.9,51.92,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,7,-2.752522927,1.245854359,-1.90878377,-0.00407236,-1.222878835
5,2582,OK,36,0.119047619,116,0,0,0,0,0,205,90,34.85,2.277777778,0,1,-1,0.17,140.9,114,11.98,1.235964912,0,272.6,96,8.982912957,2.839583333,7.5,2.03,0,353.4,48.86,0,2,0,0,0,0,1,0,1,0,1,0,1,0,1,-6,2.824711073,-2.235629843,1.370174048,1.981136307,-2.262673144
6,2359,MD,20,0.25,71,0,0,1,31,0,115.4,90,19.62,1.282222222,0,1,-1,0.170017331,217.4,78,18.48,2.787179487,0,239.9,102,8.982912957,2.351960784,13.1,3.54,1,345.9,41.64,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,-1,1.001990199,-1.871624299,-3.428948611,0.820563419,2.489204919
7,2224,OH,35,0.132075472,68,0,0,0,0,0,143.6,80,24.41,1.795,0,1,-1,0.169986072,134.3,65,11.42,2.066153846,0,215.6,84,9.7,2.566666667,15.5,4.19,1,293.4,40.02,0,2,0,0,0,0,1,0,0,1,0,0,0,1,1,-1,1.100295323,-2.553951031,-4.12395034,-0.151822109,0.238380841
8,1661,AL,1,0.14893617,92,0,0,1,38,0,242.2,96,41.17,2.522916667,0,1,-1,0.169983485,159.7,144,13.57,1.109027778,0,210,108,9.45,1.944444444,8.9,2.4,0,410.8,57.14,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,-1,2.151542706,-0.30367723,1.457577933,-0.006058774,-2.899104669
9,2895,AR,2,0.205882353,33,0,1,0,0,1,164,99,27.88,1.656565657,0,0,0,0.17,153.1,102,13.01,1.500980392,0,123.8,104,8.982912957,1.190384615,6.4,1.73,0,323.5,42.62,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,-0.806648993,-1.779956283,1.963279977,-1.744773366,-1.606676159
