id,bedrooms,bathrooms,sqft_living,sqft_lot15,waterfront,condition,grade,sqft_basement,sqft_above,current_age,zipcode,zip_encoded,zip_med_price_hpi,yr_built,yr_renovated,sqft_living15,Date,Index,Multiplier,year_sold,age_sold,price_hpi_adj,zip_med_price_raw,zip_med_sqft,zip_med_price_sqft_raw,zip_med_price_sqft_hpi,price,sqft_lot,floors
7129300520,3,1,1180,5650,0,3,7,0,1180,63,98178,66,419404,1955,0,1340,10/1/2014,153.91,1.516,2014,59,336400,277554,1720,161.3686047,243.8395349,221900,5650,1
6414100192,3,2.25,2570,7639,0,3,7,400,2170,67,98125,55,640278,1951,1991,1690,12/1/2014,156.52,1.491,2014,63,802158,425000,1600,265.625,400.17375,538000,7242,2
5631500400,2,1,770,8062,0,3,6,0,770,85,98028,16,665418,1933,0,2720,2/1/2015,158.43,1.473,2015,82,265140,445000,2070,214.9758454,321.457971,180000,10000,1
2487200875,4,3,1960,5000,0,5,7,910,1050,53,98136,58,741105,1965,0,1360,12/1/2014,156.52,1.491,2014,49,900564,485000,1575,307.9365079,470.5428571,604000,5000,1
1954400510,3,2,1680,7503,0,3,8,0,1680,31,98074,37,971395,1987,0,1800,2/1/2015,158.43,1.473,2015,28,751230,640000,2495,256.5130261,389.3366733,510000,8080,1
1321400060,3,2.25,1715,6819,0,3,7,0,1715,23,98003,2,401507,1995,0,2238,6/1/2014,148.83,1.568,2014,19,403760,267475,1780,150.2668539,225.5657303,257500,6819,2
2008000270,3,1.5,1060,9711,0,3,7,0,1060,55,98198,68,402170,1963,0,1650,1/1/2015,157.47,1.482,2015,52,432522,265000,1610,164.5962733,249.7950311,291850,9711,1
2414600126,3,1,1780,8113,0,3,7,730,1050,58,98146,60,449522,1960,0,1780,4/1/2015,160.37,1.455,2015,55,333922,305000,1490,204.6979866,301.6926174,229500,7470,1
3793500160,3,2.5,1890,7570,0,3,7,0,1890,15,98038,23,509250,2003,0,2390,3/1/2015,159.4,1.464,2015,12,472872,337000,1980,170.2020202,257.1969697,323000,6560,2
1736800520,3,2.5,3560,8925,0,3,8,1700,1860,53,98007,6,852703,1965,0,2210,4/1/2015,160.37,1.455,2015,50,963938,555000,2090,265.5502392,407.991866,662500,9796,1
9212900260,2,1,1160,6000,0,4,7,300,860,76,98115,49,855845,1942,0,1330,5/1/2014,147.59,1.581,2014,72,739908,564750,1700,332.2058824,503.4382353,468000,6000,1
114101516,3,1,1430,12697,0,4,7,0,1430,91,98028,16,665418,1927,0,1780,5/1/2014,147.59,1.581,2014,87,490110,445000,2070,214.9758454,321.457971,310000,19901,1.5
6054650070,3,1.75,1370,10208,0,4,7,0,1370,41,98074,37,971395,1977,0,1370,10/1/2014,153.91,1.516,2014,37,606400,640000,2495,256.5130261,389.3366733,400000,9680,1
1175000570,5,2,1810,4850,0,3,7,0,1810,118,98107,45,802244,1900,0,1360,3/1/2015,159.4,1.464,2015,115,775920,529950,1440,368.0208333,557.1138889,530000,4850,1.5
9297300055,4,3,2950,4000,0,3,9,970,1980,39,98126,56,596642,1979,0,2140,1/1/2015,157.47,1.482,2015,36,963300,395750,1455,271.9931271,410.0632302,650000,5000,2
1875500060,3,2,1890,14018,0,3,7,0,1890,24,98019,11,614225,1994,0,1890,7/1/2014,150.09,1.555,2014,20,614225,400000,2100,190.4761905,292.4880952,395000,14040,2
6865200140,4,1,1600,4300,0,4,7,0,1600,102,98103,42,841375,1916,0,1610,5/1/2014,147.59,1.581,2014,98,766785,550000,1500,366.6666667,560.9166667,485000,4300,1.5
16000397,2,1,1200,5095,0,4,7,0,1200,97,98002,1,356349,1921,0,1060,12/1/2014,156.52,1.491,2014,93,281799,235000,1570,149.6815287,226.9738854,189000,9850,1
7983200060,3,1,1250,8850,0,4,7,0,1250,49,98003,2,401507,1969,0,1280,4/1/2015,160.37,1.455,2015,46,334650,267475,1780,150.2668539,225.5657303,230000,9774,1
6300500875,4,1.75,1620,4980,0,4,7,760,860,71,98133,57,567088,1947,0,1400,5/1/2014,147.59,1.581,2014,67,608685,375000,1510,248.3443709,375.5549669,385000,4980,1
7137970340,5,2.5,2270,7005,0,3,8,0,2270,23,98092,40,460992,1995,0,2240,7/1/2014,150.09,1.555,2014,19,443175,300000,2080,144.2307692,221.6307692,285000,6300,2
8091400200,2,1.5,1070,8386,0,3,7,0,1070,33,98030,18,427625,1985,0,1220,5/1/2014,147.59,1.581,2014,29,399519,282000,1867,151.0444563,229.0439207,252700,9643,1
3814700200,3,2.25,2450,6865,0,4,8,0,2450,33,98030,18,427625,1985,0,2200,11/1/2014,155.21,1.503,2014,29,494487,282000,1867,151.0444563,229.0439207,329000,6500,2
1202000200,3,2,1710,4705,0,5,6,0,1710,77,98002,1,356349,1941,0,1030,11/1/2014,155.21,1.503,2014,73,350199,235000,1570,149.6815287,226.9738854,233000,4697,1.5
1794500383,3,1.75,2450,3573,0,3,8,700,1750,103,98119,53,1082204,1915,0,1760,6/1/2014,148.83,1.568,2014,99,1469216,721500,1770,407.6271186,611.4146893,937000,2691,2
3303700376,3,1,1400,3861,0,5,8,0,1400,109,98112,48,1247362,1909,0,1860,12/1/2014,156.52,1.491,2014,105,994497,822500,2095,392.601432,595.3995227,667000,1581,1.5
5101402488,3,1.75,1520,6235,0,3,7,730,790,70,98115,49,855845,1948,0,1520,6/1/2014,148.83,1.568,2014,66,686784,564750,1700,332.2058824,503.4382353,438000,6380,1
1873100390,4,2.5,2570,6026,0,3,8,0,2570,13,98052,28,934871,2005,0,2630,3/1/2015,159.4,1.464,2015,10,1052616,615000,2294,268.0906713,407.5287707,719000,7173,2
8562750320,3,2.5,2320,3980,0,3,8,0,2320,15,98027,15,860832,2003,0,2580,11/1/2014,155.21,1.503,2014,11,872492,565000,2330,242.4892704,369.455794,580500,3980,2
2426039314,2,1.5,1190,1756,0,3,7,0,1190,13,98133,57,567088,2005,0,1390,12/1/2014,156.52,1.491,2014,9,417480,375000,1510,248.3443709,375.5549669,280000,1265,3
461000390,4,1.75,2330,5000,0,4,7,820,1510,89,98117,51,819840,1929,0,1460,6/1/2014,148.83,1.568,2014,85,1078000,544000,1550,350.9677419,528.9290323,687500,5000,1.5
7589200193,3,1,1090,5080,0,4,8,0,1090,89,98117,51,819840,1929,0,1570,11/1/2014,155.21,1.503,2014,85,804105,544000,1550,350.9677419,528.9290323,535000,3000,1.5
7955080270,4,2.75,2060,8720,0,3,7,780,1280,37,98058,32,508462,1981,0,2020,12/1/2014,156.52,1.491,2014,33,480847,333000,1970,169.035533,258.1025381,322500,6659,1
9547205180,3,2.5,2300,3264,0,3,8,790,1510,88,98115,49,855845,1930,2002,1590,6/1/2014,148.83,1.568,2014,84,1091328,564750,1700,332.2058824,503.4382353,696000,3060,1.5
9435300030,4,1,1660,11467,0,1,5,730,930,85,98052,28,934871,1933,0,2160,5/1/2014,147.59,1.581,2014,81,869550,615000,2294,268.0906713,407.5287707,550000,34848,1
2768000400,4,2,2360,4700,0,4,8,0,2360,114,98107,45,802244,1904,0,1730,12/1/2014,156.52,1.491,2014,110,954240,529950,1440,368.0208333,557.1138889,640000,6000,2
7895500070,4,1,1220,7800,0,2,7,330,890,49,98001,0,394162,1969,0,1290,2/1/2015,158.43,1.473,2015,46,353520,260000,1822,142.7003293,216.3347969,240000,8075,1
