zipcode,zip_med_price_hpi
98001,260000
98002,235000
98003,267475
98004,950000
98005,757500
98006,745000
98007,555000
98008,541200
98010,338500
98011,470000
98014,375000
98019,400000
98022,267000
98023,268450
98024,400000
98027,565000
98028,445000
98029,571500
98030,282000
98031,288200
98032,249000
98033,670000
98034,445000
98038,337000
98039,1242500
98040,950000
98042,290000
98045,390000
98052,615000
98053,620000
98055,294950
98056,379800
98058,333000
98059,430000
98065,502500
98070,445000
98072,515000
98074,640000
98075,737444
98077,645000
98092,300000
98102,690000
98103,550000
98105,667000
98106,315000
98107,529950
98108,342500
98109,716000
98112,822500
98115,564750
98116,560000
98117,544000
98118,367500
98119,721500
98122,561625
98125,425000
98126,395750
98133,375000
98136,485000
98144,450000
98146,305000
98148,278000
98155,373000
98166,389999
98168,235000
98177,535550
98178,277554
98188,264000
98198,265000
98199,673750
